frame,time,base_pred,fixed_pred,adapt_pred,used_alpha,entropy
355,5.922651444694651,Right,Right,Right,0.1,-0.0
360,6.006069070676266,Left,Left,Left,0.1,-0.0
365,6.089486696657881,Left,Left,Left,0.1,-0.0
370,6.1729043226394955,Left,Left,Left,0.1,-0.0
375,6.25632194862111,Left,Left,Left,0.1,-0.0
380,6.339739574602725,Left,Left,Left,0.1,-0.0
385,6.42315720058434,Left,Left,Left,0.1,-0.0
390,6.506574826565955,Left,Left,Left,0.1,-0.0
395,6.58999245254757,Left,Left,Left,0.1,-0.0
400,6.6734100785291846,Left,Left,Left,0.1,-0.0
405,6.756827704510799,Left,Left,Left,0.1,-0.0
410,6.840245330492414,Left,Left,Left,0.1,-0.0
415,6.923662956474029,Left,Left,Left,0.1,-0.0
420,7.007080582455644,Left,Left,Left,0.1,-0.0
425,7.090498208437259,Left,Left,Left,0.1,-0.0
430,7.173915834418874,Left,Left,Left,0.1,-0.0
435,7.257333460400488,Left,Left,Left,0.1,-0.0
440,7.340751086382103,Left,Left,Left,0.1,-0.0
445,7.424168712363718,Right,Left,Right,0.1,-0.0
450,7.507586338345333,Right,Right,Right,0.1,-0.0
455,7.591003964326948,Right,Right,Right,0.1,-0.0
460,7.674421590308563,Right,Right,Right,0.1,-0.0
465,7.7578392162901775,Right,Right,Right,0.1,-0.0
470,7.841256842271792,Right,Right,Right,0.1,-0.0
475,7.924674468253407,Right,Right,Right,0.1,-0.0
480,8.008092094235021,Right,Right,Right,0.1,-0.0
485,8.091509720216637,Right,Right,Right,0.1,-0.0
490,8.17492734619825,Right,Right,Right,0.1,-0.0
495,8.258344972179867,Left,Right,Left,0.1,-0.0
500,8.34176259816148,Left,Left,Left,0.1,-0.0
505,8.425180224143096,Left,Left,Left,0.1,-0.0
510,8.50859785012471,Right,Right,Right,0.1,-0.0
515,8.592015476106326,Right,Right,Right,0.1,-0.0
520,8.67543310208794,Left,Left,Left,0.1,-0.0
525,8.758850728069556,Left,Left,Left,0.1,-0.0
530,8.84226835405117,Left,Left,Left,0.1,-0.0
535,8.925685980032785,Left,Left,Left,0.1,-0.0
540,9.0091036060144,Right,Left,Right,0.1,-0.0
545,9.092521231996015,Right,Right,Right,0.1,-0.0
550,9.175938857977629,Right,Right,Right,0.1,-0.0
555,9.259356483959245,Right,Right,Right,0.1,-0.0
560,9.342774109940859,Left,Right,Left,0.1,-0.0
565,9.426191735922473,Right,Right,Right,0.1,-0.0
570,9.509609361904088,Right,Right,Right,0.1,-0.0
575,9.593026987885702,Right,Right,Right,0.1,-0.0
580,9.676444613867318,Left,Right,Left,0.1,-0.0
585,9.759862239848932,Left,Left,Left,0.1,-0.0
590,9.843279865830548,Left,Left,Left,0.1,-0.0
595,9.926697491812162,Left,Left,Left,0.1,-0.0
600,10.010115117793777,Left,Left,Left,0.1,-0.0
605,10.093532743775391,Left,Left,Left,0.1,-0.0
610,10.176950369757007,Left,Left,Left,0.1,-0.0
615,10.260367995738621,Left,Left,Left,0.1,-0.0
620,10.343785621720237,Left,Left,Left,0.1,-0.0
625,10.42720324770185,Left,Left,Left,0.1,-0.0
630,10.510620873683466,Left,Left,Left,0.1,-0.0
635,10.59403849966508,Left,Left,Left,0.1,-0.0
640,10.677456125646696,Right,Left,Right,0.1,-0.0
645,10.76087375162831,Right,Right,Right,0.1,-0.0
650,10.844291377609926,Right,Right,Right,0.1,-0.0
655,10.92770900359154,Left,Left,Left,0.1,-0.0
660,11.011126629573155,Right,Right,Right,0.1,-0.0
665,11.09454425555477,Right,Right,Right,0.1,-0.0
670,11.177961881536385,Left,Left,Left,0.1,-0.0
675,11.261379507517999,Left,Left,Left,0.1,-0.0
680,11.344797133499615,Left,Left,Left,0.1,-0.0
685,11.428214759481229,Left,Left,Left,0.1,-0.0
690,11.511632385462844,Left,Left,Left,0.1,-0.0
695,11.595050011444458,Left,Left,Left,0.1,-0.0
700,11.678467637426072,Left,Left,Left,0.1,-0.0
705,11.761885263407688,Left,Left,Left,0.1,-0.0
710,11.845302889389302,Left,Left,Left,0.1,-0.0
715,11.928720515370918,Left,Left,Left,0.1,-0.0
720,12.012138141352532,Left,Left,Left,0.1,-0.0
725,12.095555767334147,Left,Left,Left,0.1,-0.0
730,12.178973393315761,Left,Left,Left,0.1,-0.0
735,12.262391019297377,Left,Left,Left,0.1,-0.0
740,12.345808645278991,Left,Left,Left,0.1,-0.0
745,12.429226271260607,Left,Left,Left,0.1,-0.0
750,12.51264389724222,Left,Left,Left,0.1,-0.0
755,12.596061523223836,Left,Left,Left,0.1,-0.0
760,12.67947914920545,Left,Left,Left,0.1,-0.0
765,12.762896775187066,Left,Left,Left,0.1,-0.0
770,12.84631440116868,Left,Left,Left,0.1,-0.0
775,12.929732027150296,Left,Left,Left,0.1,-0.0
780,13.01314965313191,Left,Left,Left,0.1,-0.0
785,13.096567279113525,Left,Left,Left,0.1,-0.0
790,13.17998490509514,Left,Left,Left,0.1,-0.0
795,13.263402531076755,Left,Left,Left,0.1,-0.0
800,13.346820157058369,Left,Left,Left,0.1,-0.0
805,13.430237783039985,Left,Left,Left,0.1,-0.0
810,13.513655409021599,Left,Left,Left,0.1,-0.0
815,13.597073035003215,Left,Left,Left,0.1,-0.0
820,13.680490660984828,Left,Left,Left,0.1,-0.0
825,13.763908286966444,Left,Left,Left,0.1,-0.0
830,13.847325912948058,Left,Left,Left,0.1,-0.0
835,13.930743538929672,Right,Left,Right,0.1,-0.0
840,14.014161164911288,Left,Left,Left,0.1,-0.0
845,14.097578790892902,Left,Left,Left,0.1,-0.0
850,14.180996416874518,Right,Left,Right,0.1,-0.0
855,14.264414042856131,Right,Right,Right,0.1,-0.0
860,14.347831668837747,Left,Left,Left,0.1,-0.0
865,14.431249294819361,Right,Right,Right,0.1,-0.0
870,14.514666920800977,Right,Right,Right,0.1,-0.0
875,14.59808454678259,Right,Right,Right,0.1,-0.0
880,14.681502172764207,Right,Right,Right,0.1,-0.0
885,14.76491979874582,Left,Right,Left,0.1,-0.0
890,14.848337424727436,Left,Left,Left,0.1,-0.0
895,14.93175505070905,Right,Right,Right,0.1,-0.0
900,15.015172676690666,Right,Right,Right,0.1,-0.0
905,15.09859030267228,Left,Left,Left,0.1,-0.0
910,15.182007928653896,Right,Right,Right,0.1,-0.0
915,15.26542555463551,Right,Right,Right,0.1,-0.0
920,15.348843180617125,Left,Left,Left,0.1,-0.0
925,15.43226080659874,Right,Right,Right,0.1,-0.0
930,15.515678432580355,Right,Right,Right,0.1,-0.0
935,15.599096058561969,Right,Right,Right,0.1,-0.0
940,15.682513684543585,Right,Right,Right,0.1,-0.0
945,15.765931310525199,Right,Right,Right,0.1,-0.0
950,15.849348936506814,Right,Right,Right,0.1,-0.0
955,15.932766562488428,Right,Right,Right,0.1,-0.0
960,16.016184188470042,Right,Right,Right,0.1,-0.0
965,16.09960181445166,Right,Right,Right,0.1,-0.0
970,16.183019440433274,Left,Right,Left,0.1,-0.0
975,16.266437066414888,Left,Right,Left,0.49143484234809875,0.6931471824645996
980,16.3498546923965,Left,Left,Left,0.1,-0.0
985,16.433272318378116,Left,Left,Left,0.1,-0.0
990,16.516689944359733,Right,Right,Right,0.1,-0.0
995,16.600107570341347,Right,Right,Right,0.1,-0.0
1000,16.68352519632296,Left,Left,Left,0.1,-0.0
1005,16.766942822304575,Right,Right,Right,0.1,-0.0
1010,16.850360448286192,Left,Left,Left,0.1,-0.0
1015,16.933778074267806,Right,Right,Right,0.1,-0.0
1020,17.01719570024942,Left,Left,Left,0.1,-0.0
1025,17.100613326231034,Left,Left,Left,0.1,-0.0
1030,17.18403095221265,Left,Left,Left,0.1,-0.0
1035,17.267448578194266,Right,Left,Right,0.1,-0.0
1040,17.35086620417588,Left,Left,Left,0.1,-0.0
1045,17.434283830157494,Left,Left,Left,0.1,-0.0
1050,17.51770145613911,Left,Left,Left,0.1,-0.0
1055,17.601119082120725,Left,Left,Left,0.1,-0.0
1060,17.68453670810234,Left,Left,Left,0.1,-0.0
1065,17.767954334083953,Left,Left,Left,0.1,-0.0
1070,17.85137196006557,Left,Left,Left,0.1,-0.0
1075,17.934789586047184,Left,Left,Left,0.1,-0.0
1080,18.0182072120288,Left,Left,Left,0.1,-0.0
1085,18.101624838010412,Right,Left,Right,0.1,-0.0
1090,18.18504246399203,Right,Right,Right,0.1,-0.0
1095,18.268460089973644,Right,Right,Right,0.1,-0.0
1100,18.351877715955258,Left,Left,Left,0.1,-0.0
1105,18.43529534193687,Left,Left,Left,0.1,-0.0
1110,18.51871296791849,Left,Left,Left,0.49143484234809875,0.6931471824645996
1115,18.602130593900103,Right,Right,Right,0.1,-0.0
1120,18.685548219881717,Left,Left,Left,0.1,-0.0
1125,18.76896584586333,Left,Left,Left,0.1,-0.0
1130,18.852383471844945,Left,Left,Left,0.1,-0.0
1135,18.935801097826563,Left,Left,Left,0.1,-0.0
1140,19.019218723808176,Left,Left,Left,0.1,-0.0
1145,19.10263634978979,Left,Left,Left,0.1,-0.0
1150,19.186053975771404,Left,Left,Left,0.1,-0.0
1155,19.269471601753022,Right,Left,Right,0.1,-0.0
1160,19.352889227734636,Left,Left,Left,0.1,-0.0
1165,19.43630685371625,Left,Left,Left,0.1,-0.0
1170,19.519724479697864,Left,Left,Left,0.1,-0.0
1175,19.60314210567948,Left,Left,Left,0.1,-0.0
1180,19.686559731661095,Right,Left,Right,0.1,-0.0
1185,19.76997735764271,Left,Left,Left,0.1,-0.0
1190,19.853394983624323,Left,Left,Left,0.49143484234809875,0.6931471824645996
1195,19.93681260960594,Right,Right,Right,0.1,-0.0
1200,20.020230235587555,Right,Right,Right,0.1,-0.0
1205,20.10364786156917,Left,Left,Left,0.1,-0.0
1210,20.187065487550782,Right,Right,Right,0.1,-0.0
1215,20.2704831135324,Right,Right,Right,0.1,-0.0
1220,20.353900739514014,Left,Left,Left,0.1,-0.0
1225,20.437318365495628,Right,Right,Right,0.1,-0.0
1230,20.520735991477242,Right,Right,Right,0.1,-0.0
1235,20.60415361745886,Left,Left,Left,0.1,-0.0
1240,20.687571243440473,Right,Right,Right,0.1,-0.0
1245,20.770988869422087,Left,Left,Left,0.1,-0.0
1250,20.8544064954037,Right,Right,Right,0.1,-0.0
1255,20.937824121385315,Right,Right,Right,0.1,-0.0
1260,21.021241747366933,Right,Right,Right,0.1,-0.0
1265,21.104659373348547,Left,Right,Left,0.1,-0.0
1270,21.18807699933016,Right,Right,Right,0.1,-0.0
1275,21.271494625311774,Right,Right,Right,0.1,-0.0
1280,21.354912251293392,Right,Right,Right,0.1,-0.0
1285,21.438329877275006,Right,Right,Right,0.1,-0.0
1290,21.52174750325662,Left,Right,Left,0.1,-0.0
1295,21.605165129238234,Left,Left,Left,0.1,-0.0
1300,21.68858275521985,Left,Left,Left,0.1,-0.0
1305,21.772000381201465,Left,Left,Left,0.1,-0.0
1310,21.85541800718308,Right,Left,Right,0.1,-0.0
1315,21.938835633164693,Left,Left,Left,0.1,-0.0
1320,22.02225325914631,Left,Left,Left,0.1,-0.0
1325,22.105670885127925,Left,Left,Left,0.1,-0.0
1330,22.18908851110954,Left,Left,Left,0.1,-0.0
1335,22.272506137091153,Right,Left,Right,0.1,-0.0
1340,22.35592376307277,Left,Left,Left,0.1,-0.0
1345,22.439341389054384,Left,Left,Left,0.1,-0.0
1350,22.522759015035998,Left,Left,Left,0.1,-0.0
1355,22.606176641017612,Left,Left,Left,0.1,-0.0
1360,22.68959426699923,Left,Left,Left,0.1,-0.0
1365,22.773011892980843,Left,Left,Left,0.1,-0.0
1370,22.856429518962457,Left,Left,Left,0.1,-0.0
1375,22.93984714494407,Left,Left,Left,0.1,-0.0
1380,23.02326477092569,Left,Left,Left,0.1,-0.0
1385,23.106682396907303,Left,Left,Left,0.1,-0.0
1390,23.190100022888917,Left,Left,Left,0.1,-0.0
1395,23.27351764887053,Left,Left,Left,0.1,-0.0
1400,23.356935274852145,Left,Left,Left,0.1,-0.0
1405,23.440352900833762,Left,Left,Left,0.1,-0.0
1410,23.523770526815376,Left,Left,Left,0.1,-0.0
1415,23.60718815279699,Left,Left,Left,0.1,-0.0
1420,23.690605778778604,Left,Left,Left,0.1,-0.0
1425,23.77402340476022,Left,Left,Left,0.1,-0.0
1430,23.857441030741835,Right,Left,Right,0.1,-0.0
1435,23.94085865672345,Right,Right,Right,0.1,-0.0
1440,24.024276282705063,Left,Left,Left,0.1,-0.0
1445,24.10769390868668,Left,Left,Left,0.1,-0.0
1450,24.191111534668295,Left,Left,Left,0.1,-0.0
1455,24.27452916064991,Right,Left,Right,0.1,-0.0
1460,24.357946786631523,Left,Left,Left,0.1,-0.0
1465,24.44136441261314,Left,Left,Left,0.1,-0.0
1470,24.524782038594754,Left,Left,Left,0.1,-0.0
1475,24.608199664576368,Left,Left,Left,0.1,-0.0
1480,24.691617290557982,Left,Left,Left,0.1,-0.0
1485,24.7750349165396,Left,Left,Left,0.1,-0.0
1490,24.858452542521214,Left,Left,Left,0.1,-0.0
1495,24.941870168502827,Left,Left,Left,0.1,-0.0
1500,25.02528779448444,Left,Left,Left,0.1,-0.0
1505,25.10870542046606,Left,Left,Left,0.1,-0.0
1510,25.192123046447673,Left,Left,Left,0.1,-0.0
1515,25.275540672429287,Left,Left,Left,0.1,-0.0
1520,25.3589582984109,Left,Left,Left,0.1,-0.0
1525,25.44237592439252,Left,Left,Left,0.1,-0.0
1530,25.525793550374132,Left,Left,Left,0.1,-0.0
1535,25.609211176355746,Left,Left,Left,0.1,-0.0
1540,25.69262880233736,Left,Left,Left,0.1,-0.0
1545,25.776046428318974,Right,Left,Right,0.1,-0.0
1550,25.85946405430059,Left,Left,Left,0.1,-0.0
1555,25.942881680282206,Left,Left,Left,0.1,-0.0
1560,26.02629930626382,Right,Left,Right,0.1,-0.0
1565,26.109716932245433,Right,Right,Right,0.1,-0.0
1570,26.19313455822705,Left,Left,Left,0.1,-0.0
1575,26.276552184208665,Right,Right,Right,0.1,-0.0
1580,26.35996981019028,Left,Left,Left,0.1,-0.0
1585,26.443387436171893,Left,Left,Left,0.1,-0.0
1590,26.52680506215351,Left,Left,Left,0.1,-0.0
1595,26.610222688135124,Left,Left,Left,0.1,-0.0
1600,26.693640314116738,Left,Left,Left,0.1,-0.0
1605,26.777057940098352,Left,Left,Left,0.1,-0.0
1610,26.86047556607997,Left,Left,Left,0.1,-0.0
1615,26.943893192061584,Left,Left,Left,0.1,-0.0
1620,27.027310818043198,Left,Left,Left,0.1,-0.0
1625,27.11072844402481,Left,Left,Left,0.49143484234809875,0.6931471824645996
1630,27.19414607000643,Right,Right,Right,0.1,-0.0
1635,27.277563695988043,Right,Right,Right,0.1,-0.0
1640,27.360981321969657,Left,Left,Left,0.1,-0.0
1645,27.44439894795127,Left,Left,Left,0.1,-0.0
1650,27.52781657393289,Left,Left,Left,0.1,-0.0
1655,27.611234199914502,Left,Left,Left,0.1,-0.0
1660,27.694651825896116,Right,Left,Right,0.1,-0.0
1665,27.77806945187773,Right,Right,Right,0.1,-0.0
1670,27.861487077859344,Left,Left,Left,0.1,-0.0
1675,27.94490470384096,Left,Left,Left,0.1,-0.0
1680,28.028322329822576,Right,Right,Right,0.1,-0.0
1685,28.11173995580419,Right,Right,Right,0.1,-0.0
1690,28.195157581785804,Right,Right,Right,0.1,-0.0
1695,28.27857520776742,Right,Right,Right,0.1,-0.0
1700,28.361992833749035,Right,Right,Right,0.1,-0.0
1705,28.44541045973065,Right,Right,Right,0.1,-0.0
1710,28.528828085712263,Right,Right,Right,0.1,-0.0
1715,28.61224571169388,Right,Right,Right,0.1,-0.0
1720,28.695663337675494,Left,Right,Left,0.1,-0.0
1725,28.77908096365711,Right,Right,Right,0.1,-0.0
1730,28.862498589638722,Left,Left,Left,0.1,-0.0
1735,28.94591621562034,Right,Right,Right,0.1,-0.0
1740,29.029333841601954,Left,Left,Left,0.1,-0.0
1745,29.112751467583568,Left,Left,Left,0.1,-0.0
1750,29.19616909356518,Left,Left,Left,0.1,-0.0
1755,29.2795867195468,Left,Left,Left,0.1,-0.0
1760,29.363004345528413,Left,Left,Left,0.1,-0.0
1765,29.446421971510027,Left,Left,Left,0.1,-0.0
1770,29.52983959749164,Left,Left,Left,0.1,-0.0
1775,29.61325722347326,Left,Left,Left,0.1,-0.0
1780,29.696674849454872,Left,Left,Left,0.1,-0.0
1785,29.780092475436486,Left,Left,Left,0.1,-0.0
1790,29.8635101014181,Right,Left,Right,0.1,-0.0
1795,29.946927727399718,Left,Left,Left,0.1,-0.0
1800,30.030345353381332,Left,Left,Left,0.1,-0.0
1805,30.113762979362946,Left,Left,Left,0.1,-0.0
1810,30.19718060534456,Left,Left,Left,0.1,-0.0
1815,30.280598231326174,Left,Left,Left,0.1,-0.0
1820,30.36401585730779,Left,Left,Left,0.1,-0.0
1825,30.447433483289405,Left,Left,Left,0.1,-0.0
1830,30.53085110927102,Left,Left,Left,0.1,-0.0
1835,30.614268735252633,Left,Left,Left,0.1,-0.0
1840,30.69768636123425,Left,Left,Left,0.1,-0.0
1845,30.781103987215864,Left,Left,Left,0.1,-0.0
1850,30.86452161319748,Left,Left,Left,0.1,-0.0
1855,30.947939239179092,Left,Left,Left,0.1,-0.0
1860,31.03135686516071,Left,Left,Left,0.1,-0.0
1865,31.114774491142324,Left,Left,Left,0.1,-0.0
1870,31.198192117123938,Left,Left,Left,0.1,-0.0
1875,31.28160974310555,Left,Left,Left,0.1,-0.0
1880,31.36502736908717,Left,Left,Left,0.1,-0.0
1885,31.448444995068783,Left,Left,Left,0.1,-0.0
1890,31.531862621050397,Left,Left,Left,0.1,-0.0
1895,31.61528024703201,Left,Left,Left,0.1,-0.0
1900,31.69869787301363,Left,Left,Left,0.1,-0.0
1905,31.782115498995243,Left,Left,Left,0.1,-0.0
1910,31.865533124976857,Left,Left,Left,0.1,-0.0
1915,31.94895075095847,Left,Left,Left,0.1,-0.0
1920,32.032368376940084,Left,Left,Left,0.1,-0.0
1925,32.1157860029217,Left,Left,Left,0.1,-0.0
1930,32.19920362890332,Left,Left,Left,0.1,-0.0
1935,32.28262125488493,Left,Left,Left,0.1,-0.0
1940,32.36603888086655,Left,Left,Left,0.1,-0.0
1945,32.44945650684816,Left,Left,Left,0.1,-0.0
1950,32.532874132829775,Left,Left,Left,0.1,-0.0
1955,32.61629175881139,Left,Left,Left,0.1,-0.0
1960,32.699709384793,Left,Left,Left,0.1,-0.0
1965,32.78312701077462,Left,Left,Left,0.1,-0.0
1970,32.86654463675623,Left,Left,Left,0.1,-0.0
1975,32.94996226273785,Left,Left,Left,0.1,-0.0
1980,33.033379888719466,Left,Left,Left,0.1,-0.0
1985,33.11679751470108,Left,Left,Left,0.1,-0.0
1990,33.200215140682694,Left,Left,Left,0.1,-0.0
1995,33.28363276666431,Left,Left,Left,0.1,-0.0
2000,33.36705039264592,Left,Left,Left,0.1,-0.0
2005,33.45046801862754,Left,Left,Left,0.1,-0.0
2010,33.53388564460915,Right,Left,Right,0.1,-0.0
2015,33.61730327059077,Right,Right,Right,0.1,-0.0
2020,33.700720896572385,Right,Right,Right,0.1,-0.0
2025,33.784138522553995,Right,Right,Right,0.1,-0.0
2030,33.86755614853561,Right,Right,Right,0.1,-0.0
2035,33.95097377451723,Right,Right,Right,0.1,-0.0
2040,34.03439140049884,Left,Right,Left,0.1,-0.0
2045,34.11780902648046,Left,Left,Left,0.1,-0.0
2050,34.20122665246207,Left,Left,Left,0.1,-0.0
2055,34.284644278443686,Left,Left,Left,0.1,-0.0
2060,34.3680619044253,Left,Left,Left,0.1,-0.0
2065,34.451479530406914,Left,Left,Left,0.1,-0.0
2070,34.53489715638853,Left,Left,Left,0.1,-0.0
2075,34.61831478237015,Left,Left,Left,0.1,-0.0
2080,34.70173240835176,Left,Left,Left,0.1,-0.0
2085,34.78515003433338,Left,Left,Left,0.1,-0.0
2090,34.86856766031499,Left,Left,Left,0.1,-0.0
2095,34.951985286296605,Left,Left,Left,0.1,-0.0
2100,35.03540291227822,Left,Left,Left,0.1,-0.0
2105,35.11882053825983,Left,Left,Left,0.1,-0.0
2110,35.20223816424145,Left,Left,Left,0.1,-0.0
2115,35.28565579022306,Left,Left,Left,0.1,-0.0
2120,35.36907341620468,Left,Left,Left,0.1,-0.0
2125,35.452491042186296,Left,Left,Left,0.1,-0.0
2130,35.535908668167906,Left,Left,Left,0.1,-0.0
2135,35.61932629414952,Left,Left,Left,0.1,-0.0
2140,35.70274392013114,Right,Left,Right,0.1,-0.0
2145,35.78616154611275,Right,Right,Right,0.1,-0.0
2150,35.86957917209437,Right,Right,Right,0.1,-0.0
2155,35.95299679807598,Right,Right,Right,0.1,-0.0
2160,36.0364144240576,Right,Right,Right,0.1,-0.0
2165,36.119832050039214,Right,Right,Right,0.1,-0.0
2170,36.203249676020825,Right,Right,Right,0.1,-0.0
2175,36.28666730200244,Right,Right,Right,0.1,-0.0
2180,36.37008492798406,Right,Right,Right,0.1,-0.0
2185,36.45350255396567,Right,Right,Right,0.1,-0.0
2190,36.53692017994729,Right,Right,Right,0.1,-0.0
2195,36.6203378059289,Right,Right,Right,0.1,-0.0
2200,36.703755431910515,Right,Right,Right,0.1,-0.0
2205,36.78717305789213,Right,Right,Right,0.1,-0.0
2210,36.87059068387374,Right,Right,Right,0.1,-0.0
2215,36.95400830985536,Right,Right,Right,0.1,-0.0
2220,37.03742593583698,Right,Right,Right,0.1,-0.0
2225,37.12084356181859,Right,Right,Right,0.1,-0.0
2230,37.204261187800206,Right,Right,Right,0.1,-0.0
2235,37.28767881378182,Right,Right,Right,0.1,-0.0
2240,37.371096439763434,Right,Right,Right,0.1,-0.0
2245,37.45451406574505,Right,Right,Right,0.1,-0.0
2250,37.53793169172666,Right,Right,Right,0.1,-0.0
2255,37.62134931770828,Right,Right,Right,0.1,-0.0
2260,37.70476694368989,Right,Right,Right,0.1,-0.0
2265,37.78818456967151,Right,Right,Right,0.1,-0.0
2270,37.871602195653125,Right,Right,Right,0.1,-0.0
2275,37.955019821634735,Right,Right,Right,0.1,-0.0
2280,38.03843744761635,Right,Right,Right,0.1,-0.0
2285,38.12185507359797,Right,Right,Right,0.1,-0.0
2290,38.20527269957958,Right,Right,Right,0.1,-0.0
2295,38.2886903255612,Right,Right,Right,0.1,-0.0
2300,38.37210795154281,Right,Right,Right,0.1,-0.0
2305,38.455525577524426,Right,Right,Right,0.1,-0.0
2310,38.538943203506044,Right,Right,Right,0.1,-0.0
2315,38.622360829487654,Right,Right,Right,0.1,-0.0
2320,38.70577845546927,Right,Right,Right,0.1,-0.0
2325,38.78919608145089,Right,Right,Right,0.1,-0.0
2330,38.8726137074325,Right,Right,Right,0.1,-0.0
2335,38.95603133341412,Right,Right,Right,0.1,-0.0
2340,39.03944895939573,Right,Right,Right,0.1,-0.0
2345,39.122866585377345,Right,Right,Right,0.1,-0.0
2350,39.20628421135896,Right,Right,Right,0.1,-0.0
2355,39.28970183734057,Right,Right,Right,0.1,-0.0
2360,39.37311946332219,Right,Right,Right,0.1,-0.0
2365,39.4565370893038,Right,Right,Right,0.1,-0.0
2370,39.53995471528542,Right,Right,Right,0.1,-0.0
2375,39.623372341267036,Right,Right,Right,0.1,-0.0
2380,39.706789967248646,Right,Right,Right,0.1,-0.0
2385,39.790207593230264,Right,Right,Right,0.1,-0.0
2390,39.87362521921188,Right,Right,Right,0.1,-0.0
2395,39.95704284519349,Right,Right,Right,0.1,-0.0
2400,40.04046047117511,Right,Right,Right,0.1,-0.0
2405,40.12387809715672,Right,Right,Right,0.1,-0.0
2410,40.20729572313834,Right,Right,Right,0.1,-0.0
2415,40.290713349119955,Right,Right,Right,0.1,-0.0
