ID,Question,Question_Type,Predicted Answer,Correct Answer,IsCorrect
23,"As the man in yellow in the photo, in which direction are you facing?A. left
B. right
C. front
D. back
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,C. front,C. front,True
24,"Picture yourself as the giraff; which way are you looking in the scene?A. back-right
B. left
C. front-right
D. front-left
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,C. front-right,C. front-right,True
25,"Which hand does this woman hold the racket with?A. left
B. right
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,B. right,B. right,True
26,"From the perspective of the man in black, where is the man in white located?A. front-right
B. back
C. front-left
D. back-left
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,A. front-right,A. front-right,True
27,"With the camera's viewpoint as the front, which direction is the man facing in the image?A. front-right
B. right
C. front
D. back
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,D. back,D. back,True
28,"When positioned at toilet facing window, where can you find sink?A. back-right
B. left
C. front-left
D. front-right
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,B,A. back-right,False
29,"Can you describe the position of the box relative to the bag?A. left
B. above-left
C. front
D. above
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,C. front,C. front,True
30,"How is the door positioned with respect to the picture?A. back-up
B. back-left
C. front
D. back-down
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,C. front,C. front,True
31,"From the man's perspective, where is the sofa located?A. back-left
B. right
C. front-right
D. front
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,B. right,A. back-left,False
32,"Imagine standing at sofa looking towards bookshelf, where is whiteboard?A. back-right
B. left
C. back-left
D. front
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,D. front,D. front,True
33,"Taking the camera's viewpoint as the front, which way is the bear facing in the image?A. back
B. right
C. front
D. left
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,D. left,D. left,True
34,"From the perspective of the man in black clothes, where is the laptop?A. back-right
B. front
C. left
D. back
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,B. front,B. front,True
35,"How is the box positioned with respect to the shelves?A. back-up
B. left
C. back-down
D. right
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,D. right,B. left,False
36,"Can you describe the position of the cabinet relative to the door?A. above-left
B. back-down
C. right
D. back
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,C. right,C. right,True
37,"Taking the camera lens as the front, what direction is the man in blue clothes looking toward?A. front-left
B. right
C. back
D. left
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,B. right,C. back,False
38,"Can you describe the position of the shelves relative to the picture?A. above-right
B. left
C. front-down
D. down-right
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,B. left,C. front-down,False
39,"When positioned at cabinet facing picture, where can you find books?A. back-right
B. right
C. front-left
D. back
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,C. front-left,C. front-left,True
40,"How is the chair positioned with respect to the clothes?A. front-up
B. back-right
C. above
D. back-up
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,B. back-right,A. front-up,False
41,"Taking the camera lens as the front, what direction is the man looking toward?A. front-right
B. front
C. front-left
D. back
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,D. back,D. back,True
42,"Imagine standing at table looking towards sofa, where is shelves?A. right
B. back
C. front-right
D. front-left
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,D. front-left,B. back,False
43,"As the boy in the photo, in which direction are you facing?A. left
B. back-right
C. back-left
D. front
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,D. front,D. front,True
44,"With the camera's viewpoint as the front, which direction is the girl facing in the image?A. back-left
B. back-right
C. right
D. front
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,A. back-left,A. back-left,True
45,"Taking the camera's viewpoint as the front, which way is the dog facing in the image?A. back
B. front
C. right
D. front-right
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,A. back,A. back,True
46,"Where is the sofa in relation to the lamp?A. down-left
B. front-left
C. above-left
D. back-up
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,D. back-up,A. down-left,False
47,"How is the desk positioned with respect to the window?A. down-right
B. back-right
C. front-up
D. down-left
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,C. front-up,D. down-left,False
48,"Taking the camera lens as the front, what direction is the cat looking toward?A. back
B. front-right
C. front
D. left
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,D. left,A. back,False
49,"Imagine standing at toilet looking towards desk, where is counter?A. front-right
B. back-left
C. back
D. front-left
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,D. front-left,D. front-left,True
50,"Which hand is the man holding the food with?A. left
B. right
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,B. right,B. right,True
51,"Standing at counter, gazing at sink, where should towel be?A. left
B. back-left
C. front-left
D. back-right
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,D. back-right,D. back-right,True
52,"Taking the camera lens as the front, what direction is the man in black clothes looking toward?A. back
B. front
C. right
D. left
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,A. back,C. right,False
53,"From the perspective of the man in green clothes, where is the man in black trousers?A. back-right
B. back
C. front
D. back-left
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,C. front,C. front,True
54,"How is the counter positioned with respect to the paper?A. back-right
B. front-up
C. back-left
D. down
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,D. down,A. back-right,False
55,"If you stand at bag facing sink, where is shower curtain?A. front-left
B. front-right
C. back
D. back-right
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,B. front-right,B. front-right,True
56,"Where is the sink located compared to the towel from the camera's perspective?A. front-right
B. back-up
C. above-right
D. down
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,D. down,C. above-right,False
57,"From the perspective of the woman, where is the motorcycle?A. back-left
B. left
C. right
D. front
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,D. front,C. right,False
58,"Can you describe the position of the sofa relative to the pillow?A. back-down
B. right
C. back-right
D. down-left
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,B. right,A. back-down,False
59,"Standing at door, gazing at bed, where should pillow be?A. back
B. front-left
C. back-left
D. front-right
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,D. front-right,B. front-left,False
60,"How is the sink positioned with respect to the toilet?A. down
B. above
C. back-right
D. left
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,A. down,C. back-right,False
61,"If you're looking at the sink, where would you find the counter?A. back-left
B. back
C. right
D. above
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,C. right,C. right,True
62,"Taking the camera's viewpoint as the front, which way is the man in black facing in the image?A. back-right
B. left
C. front-left
D. front-right
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,D. front-right,A. back-right,False
63,"Imagine standing at sink looking towards toilet, where is window?A. right
B. back-left
C. front-left
D. back-right
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,A. right,B. back-left,False
64,"Taking the camera lens as the front, what direction is the man riding a motorcycle looking toward?A. front-left
B. front-right
C. left
D. back-right
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,D. back-right,D. back-right,True
65,"Taking the camera lens as the front, what direction is the cat looking toward?A. back-right
B. front-left
C. back-left
D. front-right
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,B. front-left,C. back-left,False
66,"Picture yourself as the cat; which way are you looking in the scene?A. front-left
B. back-right
C. back-left
D. back
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,B. back-right,A. front-left,False
67,"Imagine you're the boy in this image — which direction are you facing?A. back-left
B. back
C. front
D. right
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,C. front,C. front,True
68,"Taking the camera's viewpoint as the front, which way is the boy in red facing in the image?A. left
B. back
C. back-left
D. right
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,D. right,D. right,True
69,"Standing at window, gazing at whiteboard, where should box be?A. front-right
B. back-left
C. back
D. front-left
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,D. front-left,D. front-left,True
70,"Imagine you're the horse in this image — which direction are you facing?A. front
B. back
C. back-right
D. back-left
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,A. front,A. front,True
71,"Picture yourself as the man; which way are you looking in the scene?A. back-right
B. front
C. right
D. left
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,B. front,B. front,True
72,"From the perspective of the woman holding the bat, where is the woman in black located?A. front
B. back
C. front-left
D. left
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,B. back,B. back,True
73,"Which hand does the woman use to hold the remote?A. left
B. right
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,B. right,B. right,True
74,"If you stand at picture facing refrigerator, where is television?A. left
B. front
C. back-left
D. back-right
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,B. front,D. back-right,False
75,"Picture yourself as the woman; which way are you looking in the scene?A. left
B. front
C. back
D. back-right
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,B. front,B. front,True
76,"If you stand at window facing pillow, where is bag?A. left
B. front-left
C. front-right
D. back-right
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,C. front-right,D. back-right,False
77,"Considering the camera's perspective as the front, what direction is the woman holding the umbrella facing within the picture?A. front
B. right
C. back
D. front-right
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,C. back,C. back,True
78,"Considering the camera's perspective as the front, what direction is the bird facing within the picture?A. left
B. right
C. front-right
D. back
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,D. back,A. left,False
79,"If you stand at window facing door, where is box?A. back
B. front-right
C. back-right
D. front-left
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,D. front-left,D. front-left,True
80,"With the camera's viewpoint as the front, which direction is the man wearing a black hat facing in the image?A. right
B. left
C. front-left
D. back
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,A. right,A. right,True
81,"Taking the camera lens as the front, what direction is the woman in the middle of the picture who is wearing pink clothes looking toward?A. left
B. back
C. front
D. front-right
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,A. left,B. back,False
82,"If you're looking at the bag, where would you find the window?A. back-right
B. back-left
C. left
D. above
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,D. above,D. above,True
83,"Could you tell me the location of the desk in comparison to the shelves?A. above-left
B. down
C. above-right
D. back
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,B. down,B. down,True
84,"Suppose you are in the woman’s position, what direction are you facing?A. back
B. right
C. left
D. front
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,D. front,D. front,True
85,"From the perspective of the woman in the pink dress, where is the woman in the white dress located?A. right
B. left
C. back-left
D. front-left
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,A. right,A. right,True
86,"From the perspective of this dog, where are the potted plant located?A. back-left
B. back-right
C. front-left
D. front
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,C. front-left,B. back-right,False
87,"With the camera's viewpoint as the front, which direction is the woman facing in the image?A. left
B. front
C. back
D. front-right
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,C. back,C. back,True
88,"From the perspective of this woman dressed in purple and black striped clothes, where is the boy in black clothes?A. back
B. back-right
C. left
D. right
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,C. left,C. left,True
89,"If you stand at chair facing mirror, where is bag?A. left
B. back-right
C. back
D. front
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,D. front,D. front,True
90,"Standing at sofa, gazing at television, where should picture be?A. front-right
B. left
C. right
D. back
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,B,B. left,True
91,"Taking the camera lens as the front, what direction is the woman wearing glasses looking toward?A. front-left
B. right
C. front-right
D. back
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,D. back,D. back,True
92,"If you stand at sink facing counter, where is picture?A. back-right
B. front-left
C. front-right
D. back-left
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,B,A. back-right,False
93,"Could you tell me the location of the counter in comparison to the window?A. right
B. front-up
C. back-down
D. down-left
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,A. right,A. right,True
94,"From the perspective of this policeman, where is the train located?A. left
B. front
C. back-left
D. back-right
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,B. front,B. front,True
95,"Could you tell me the location of the sofa in comparison to the cabinet?A. back-up
B. front-left
C. back-down
D. right
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,D. right,D. right,True
96,"From the perspective of the man in red clothes, where is the man in green clothes?A. right
B. left
C. front
D. back-right
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,C. front,C. front,True
97,"Taking the camera lens as the front, what direction is the giraffe looking toward?A. right
B. front
C. back-left
D. front-left
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,A. right,A. right,True
98,"Imagine standing at toilet looking towards chair, where is dresser?A. back
B. front-right
C. back-left
D. front-left
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,B. front-right,B. front-right,True
99,"Taking the camera's viewpoint as the front, which way is the man in dark grey clothes facing in the image?A. front-left
B. front-right
C. left
D. back-right
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,D. back-right,D. back-right,True
100,"As the girl in the photo, in which direction are you facing?A. back-right
B. back
C. left
D. front-right
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,D. front-right,D. front-right,True
101,"Taking the camera lens as the front, what direction is the man looking toward?A. right
B. front-left
C. front-right
D. back-left
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,D. back-left,D. back-left,True
102,"As the boy in the photo, in which direction are you facing?A. front-left
B. back-left
C. back
D. right
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,D. right,A. front-left,False
103,"How is the clothes positioned with respect to the bag?A. front-right
B. down-right
C. above
D. down
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,C. above,C. above,True
104,"From the perspective of the woman in wedding dress, where is the man in suit positioned?A. left
B. back-left
C. right
D. back
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,C. right,C. right,True
105,"How is the desk positioned with respect to the cabinet?A. back-left
B. front-right
C. front-down
D. front-left
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,B. front-right,B. front-right,True
106,"Taking the camera's viewpoint as the front, which way is the woman in grey clothes facing in the image?A. left
B. front-left
C. back
D. front-right
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,C. back,C. back,True
107,"If you stand at toilet facing sink, where is mirror?A. back-right
B. left
C. front
D. back-left
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,C. front,C. front,True
108,"How is the refrigerator positioned with respect to the box?A. above-right
B. down-right
C. front
D. down-left
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,C. front,A. above-right,False
109,"Taking the camera's viewpoint as the front, which way is the woman facing in the image?A. back-right
B. back-left
C. front
D. front-left
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,A. back-right,B. back-left,False
110,"Standing at bed, gazing at table, where should desk be?A. front
B. back
C. left
D. right
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,D,A. front,False
111,"If you stand at refrigerator facing table, where is shelves?A. right
B. left
C. back-left
D. front-left
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,A. right,A. right,True
112,"Standing at lamp, gazing at television, where should picture be?A. back
B. front-right
C. front-left
D. back-left
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,B,C. front-left,False
113,"Considering the camera's perspective as the front, what direction is the man facing within the picture?A. back-left
B. front-left
C. right
D. front
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,C. right,C. right,True
114,"Imagine you're the man in black in this image — which direction are you facing?A. left
B. back-left
C. back
D. front
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,D. front,D. front,True
115,"Taking the camera lens as the front, what direction is the man sitting in a wheelchair looking toward?A. back-right
B. front
C. front-left
D. back-left
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,A. back-right,A. back-right,True
116,"How is the counter positioned with respect to the cabinet?A. front
B. front-up
C. above
D. front-down
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,A. front,C. above,False
117,"Considering the camera's perspective as the front, what direction is the standing woman facing within the picture?A. front-left
B. back-left
C. back-right
D. front-right
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,C. back-right,B. back-left,False
118,"Taking the camera's viewpoint as the front, which way is the man facing in the image?A. left
B. right
C. back
D. front
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,C. back,C. back,True
119,"Taking the camera lens as the front, what direction is the man in white clothes looking toward?A. front-right
B. left
C. front
D. back
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,D. back,B. left,False
120,"Standing at chair, gazing at bed, where should desk be?A. front
B. front-left
C. back-right
D. back-left
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,C. back-right,D. back-left,False
121,"Imagine you're the boy in this image — which direction are you facing?A. back-left
B. front-left
C. back
D. right
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,D. right,B. front-left,False
122,"From the boy's perspective, where is the bowl positioned?A. back-right
B. front
C. right
D. left
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,B. front,B. front,True
123,"From the perspective of the man holding the book, where is the man wearing the hat?A. left
B. back-left
C. front-right
D. front-left
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,C. front-right,C. front-right,True
124,"From the perspective of this man in white clothes, where is the wine bottle?A. front
B. left
C. back-left
D. back-right
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,D. back-right,A. front,False
125,"With the camera's viewpoint as the front, which direction is the man facing in the image?A. front
B. right
C. back-left
D. left
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,B. right,A. front,False
126,"From the perspective of the woman in red clothes, where is the man beside her?A. back-right
B. back
C. right
D. left
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,D. left,D. left,True
127,"Can you describe the position of the bag relative to the paper?A. right
B. back-down
C. above
D. front-down
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,C. above,A. right,False
128,"Picture yourself as the girl; which way are you looking in the scene?A. back
B. front-left
C. right
D. front
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,C. right,C. right,True
129,"If you're looking at the table, where would you find the window?A. front
B. above-left
C. back
D. front-down
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,C. back,B. above-left,False
130,"From the perspective of the person wearing the white hat, where is the person wearing the black hat located relative to him?A. back
B. front-left
C. left
D. front-right
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,D. front-right,A. back,False
131,"Imagine you're the man in this image — which direction are you facing?A. front
B. back-right
C. left
D. back
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,A. front,C. left,False
132,"Suppose you are in the boy’s position, what direction are you facing?A. back-right
B. front-left
C. back
D. front-right
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,B. front-left,D. front-right,False
133,"Where is the sink located compared to the counter from the camera's perspective?A. back-left
B. front-right
C. back
D. down
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,D. down,B. front-right,False
134,"From the perspective of the man with orange hair, where is the man in yellow clothes located?A. right
B. front-left
C. back-right
D. back-left
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,A. right,D. back-left,False
135,"If you stand at shower curtain facing toilet, where is sink?A. right
B. back-left
C. front-left
D. back
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,C. front-left,C. front-left,True
136,"How is the picture positioned with respect to the television?A. above-left
B. front-up
C. front
D. right
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,D. right,D. right,True
137,"Suppose you are in the girl’s position, what direction are you facing?A. right
B. back
C. front
D. left
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,C. front,C. front,True
138,"Imagine standing at window looking towards door, where is person?A. back-left
B. front
C. back
D. back-right
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,B. front,B. front,True
139,"Can you describe the position of the table relative to the books?A. down
B. back
C. left
D. right
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,C. left,A. down,False
140,"Picture yourself as the man; which way are you looking in the scene?A. front
B. left
C. back
D. right
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,D. right,A. front,False
141,"Standing at clothes, gazing at books, where should lamp be?A. left
B. back-right
C. front
D. back-left
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,C. front,B. back-right,False
142,"From the perspective of the zebra, where is the elephant located?A. front-left
B. front-right
C. back
D. back-right
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,A. front-left,B. front-right,False
143,"Imagine you're the man in this image — which direction are you facing?A. left
B. front
C. back-left
D. right
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,B. front,B. front,True
144,"Can you describe the position of the toilet relative to the bathtub?A. down-right
B. right
C. front-right
D. left
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,D. left,D. left,True
145,"Imagine standing at bathtub looking towards lamp, where is floor mat?A. back-left
B. back
C. front-right
D. back-right
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,C. front-right,C. front-right,True
146,"Standing at window, gazing at desk, where should bed be?A. left
B. back-right
C. front-right
D. right
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,A. left,A. left,True
147,"When positioned at sofa facing counter, where can you find box?A. back-right
B. front
C. left
D. back
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,B,B. front,True
148,"Taking the camera's viewpoint as the front, which way is the boy facing in the image?A. front-right
B. back-right
C. front-left
D. left
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,B. back-right,B. back-right,True
149,"If you're looking at the lamp, where would you find the nightstand?A. down
B. above-left
C. back-left
D. above
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,A. down,A. down,True
150,"Taking the camera lens as the front, what direction is the man wearing a hat looking toward?A. back
B. front
C. left
D. back-right
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,C. left,C. left,True
151,"If you stand at door facing desk, where is curtain?A. front
B. back
C. left
D. right
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,D. right,A. front,False
152,"Where is the desk in relation to the shelves?A. down
B. back-right
C. right
D. back-left
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,A. down,A. down,True
153,"Where is the toilet in relation to the towel?A. down-left
B. front-left
C. down-right
D. back-down
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,B. front-left,A. down-left,False
154,"Suppose you are in the woman’s position, what direction are you facing?A. back-left
B. back
C. left
D. front
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,D. front,D. front,True
