ID,Question,Question_Type,Predicted Answer,Correct Answer,IsCorrect
18,"From the perspective of the woman wearing the green helmet in the red bounding box, where is the person in black clothes?A. front
B. right
C. left
D. back-left
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,B. right,A. front,False
19,"With the camera's viewpoint as the front, which direction is the woman in the red bounding box facing in the image?A. front-left
B. right
C. back
D. front-right
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,C. back,C. back,True
20,"Picture yourself as the woman; which way are you in the red bounding box looking in the scene?A. front
B. back
C. back-left
D. right
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,A. front,A. front,True
21,"From this woman in the red bounding box's perspective, where is the riverbank?A. front-left
B. front
C. back-left
D. right
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,D. right,D. right,True
22,"With the camera's viewpoint as the front, which direction is the man in the red bounding box facing in the image?A. front-right
B. back-right
C. back-left
D. left
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,B. back-right,B. back-right,True
23,"Imagine you're the man in the red bounding box in this image — which direction are you facing?A. left
B. back
C. front
D. back-right
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,C. front,A. left,False
24,"Which hand is the man holding the sports ball with?A. left
B. right
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,B. right,B. right,True
25,"Taking the camera's viewpoint as the front, which way is the man in the red bounding box facing in the image?A. back-right
B. back-left
C. front
D. right
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,B. back-left,B. back-left,True
26,"Imagine you're the man in the red bounding box in this image — which direction are you facing?A. front
B. left
C. back-right
D. back
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,A. front,A. front,True
27,"From the man in the red bounding box's perspective, where is the motorcycle?A. right
B. front-left
C. front
D. back
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,D. back,A. right,False
28,"Taking the camera's viewpoint as the front, which way is the man in the red bounding box in dark grey clothes facing in the image?A. front-left
B. front-right
C. left
D. back-right
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,D. back-right,D. back-right,True
29,"Picture yourself as the man in the red bounding box in dark grey clothes; which way are you looking in the scene?A. back-right
B. back
C. left
D. front
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,D. front,D. front,True
30,"From the perspective of the man in dark grey clothes in the red bounding box, where is the man in white clothes located?A. front-left
B. back
C. back-left
D. right
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,D. right,A. front-left,False
31,"Considering the camera's perspective as the front, what direction is the man in the red bounding box in the brownish-yellow clothes facing within the picture?A. back-left
B. front-left
C. front-right
D. back-right
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,A. back-left,D. back-right,False
32,"As the man in the red bounding box in the brownish-yellow clothes in the photo, in which direction are you facing?A. right
B. back
C. front-left
D. left
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,C. front-left,A. right,False
33,"From the perspective of the man in the brownish-yellow clothes in the red bounding box, where is the red suitcase?A. back-right
B. front-right
C. back-left
D. left
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,B. front-right,B. front-right,True
34,"If you're looking at the mirror, where would you find the toilet?A. back-right
B. front-up
C. down-right
D. back-down
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,B. front-up,C. down-right,False
35,"Could you tell me the location of the toilet in comparison to the sink in the red bounding box?A. right
B. back-left
C. down-left
D. left
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,A. right,A. right,True
36,"If you're looking at the sink, where would you find the mirror?A. front-left
B. back
C. above
D. down-left
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,C. above,C. above,True
37,"Could you tell me the location of the mirror in comparison to the sink in the red bounding box?A. front-left
B. above
C. right
D. back-right
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,B. above,B. above,True
38,"Could you tell me the location of the sink in comparison to the door?A. back-down
B. front-down
C. back-left
D. right
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,D. right,D. right,True
39,"If you're looking at the sink, where would you find the toilet?A. back-up
B. down
C. front-up
D. right
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,B. down,D. right,False
40,"Standing at counter, gazing at refrigerator, where should towel be?A. front-right
B. back-left
C. front
D. back-right
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,A. front-right,B. back-left,False
41,"Standing at counter, gazing at picture, where should refrigerator be?A. right
B. front-left
C. back-left
D. front-right
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,A. right,C. back-left,False
42,"When positioned at counter facing picture, where can you find towel?A. back-right
B. left
C. front-right
D. back-left
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,B. left,A. back-right,False
43,"Standing at counter, gazing at door, where should refrigerator be?A. left
B. back-left
C. back
D. front-right
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,D. front-right,D. front-right,True
44,"Standing at door, gazing at picture, where should towel be?A. right
B. left
C. back-right
D. front
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,D. front,D. front,True
45,"When positioned at door facing refrigerator, where can you find towel?A. front-right
B. left
C. back-left
D. back
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,B. left,A. front-right,False
46,"When positioned at counter facing door, where can you find towel?A. right
B. back
C. left
D. front
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,C. left,C. left,True
47,"With the camera's viewpoint as the front, which direction is the man in the red bounding box facing in the image?A. back
B. front
C. left
D. front-right
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,A. back,C. left,False
48,"Picture yourself as the man; which way are you in the red bounding box looking in the scene?A. left
B. front
C. back-left
D. back
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,B. front,B. front,True
49,"With the camera's viewpoint as the front, which direction is the man in the red bounding box looking at the computer facing in the image?A. front-right
B. back-right
C. left
D. right
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,C. left,C. left,True
50,"Imagine you're the man in the red bounding box looking at the computer in this image — which direction are you facing?A. right
B. back
C. back-left
D. front
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,D. front,D. front,True
51,"From the perspective of the man who is looking at the computer in the red bounding box, where is the man wearing a hat positioned?A. front-left
B. back-left
C. left
D. back-right
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,D. back-right,D. back-right,True
52,"How is the desk positioned with respect to the table in the red bounding box?A. front-left
B. front-right
C. back-down
D. above
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,D. above,B. front-right,False
53,"Where is the chair located compared to the whiteboard from the camera's perspective?A. front-down
B. back-right
C. above-right
D. down-left
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,B. back-right,D. down-left,False
54,"Where is the chair located compared to the books from the camera's perspective?A. front-right
B. back
C. down
D. front-left
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,B. back,A. front-right,False
55,"Can you describe the position of the desk relative to the books?A. back-right
B. down-right
C. front-down
D. front-right
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,B. down-right,D. front-right,False
56,"Standing at desk, gazing at cabinet, where should whiteboard be?A. right
B. front-right
C. front-left
D. back
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,D. back,C. front-left,False
57,"When positioned at cabinet facing whiteboard, where can you find books?A. back-right
B. front-left
C. back-left
D. front-right
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,B. front-left,B. front-left,True
58,"Standing at window, gazing at desk, where should whiteboard be?A. back-left
B. back
C. right
D. front-left
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,D. front-left,D. front-left,True
59,"Imagine standing at window looking towards cabinet, where is books?A. front-right
B. back-right
C. front-left
D. back
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,C. front-left,A. front-right,False
60,"Standing at window, gazing at cabinet, where should whiteboard be?A. front-left
B. back
C. right
D. front-right
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,B. back,A. front-left,False
61,"Standing at desk, gazing at whiteboard, where should books be?A. back-left
B. back
C. right
D. front
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,D. front,C. right,False
62,"Imagine standing at desk looking towards cabinet, where is books?A. back-right
B. left
C. back
D. front-right
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,B. left,D. front-right,False
63,"If you're looking at the table, where would you find the window?A. front
B. above-left
C. back
D. front-down
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,C. back,B. above-left,False
64,"If you stand at table facing door, where is whiteboard?A. right
B. front-left
C. back-right
D. back-left
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,A. right,B. front-left,False
65,"With the camera's viewpoint as the front, which direction is the woman in the red bounding box facing in the image?A. back-left
B. back-right
C. left
D. front-right
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,B. back-right,B. back-right,True
66,"As the woman in the red bounding box in the photo, in which direction are you facing?A. back
B. front
C. back-left
D. right
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,B. front,B. front,True
67,"Which hand is the woman holding the remote with?A. left
B. right
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,B. right,B. right,True
68,"Taking the camera lens as the front, what direction is the man in the red bounding box in white clothes looking toward?A. left
B. front
C. back
D. front-right
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,C. back,C. back,True
69,"Imagine you're the man in the red bounding box in white clothes in this image — which direction are you facing?A. back-right
B. back-left
C. right
D. front
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,D. front,D. front,True
70,"From the perspective of this man in white clothes in the red bounding box, where is the wine bottle?A. front
B. left
C. back-left
D. back-right
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,A. front,A. front,True
71,"With the camera's viewpoint as the front, which direction is the girl facing in the image?A. left
B. front-right
C. right
D. front
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,A. left,A. left,True
72,"As the girl in the red bounding box in the photo, in which direction are you facing?A. back-right
B. back
C. left
D. front-right
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,D. front-right,D. front-right,True
73,"From the perspective of the girl in the red bounding box, where was that boy positioned?A. back
B. back-right
C. front
D. right
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,C. front,C. front,True
74,"Taking the camera lens as the front, what direction is the boy in the red bounding box looking toward?A. back
B. right
C. left
D. front
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,A. back,B. right,False
75,"As the boy in the red bounding box in the photo, in which direction are you facing?A. front
B. left
C. back-right
D. back-left
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,A. front,A. front,True
76,"From the perspective of the boy in the red bounding box, where is the TV located?A. back-left
B. front
C. right
D. left
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,C. right,B. front,False
77,"Taking the camera's viewpoint as the front, which way is the man in the red bounding box facing in the image?A. right
B. front
C. back-left
D. front-right
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,C. back-left,C. back-left,True
78,"Picture yourself as the man; which way are you in the red bounding box looking in the scene?A. front-right
B. back-left
C. left
D. back
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,A. front-right,A. front-right,True
79,"From the perspective of the man in the red bounding box, where is the tennis ball?A. right
B. front
C. left
D. back-right
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,C. left,B. front,False
80,"With the camera's viewpoint as the front, which direction is the man holding the baseball bat facing in the image?A. front
B. back
C. right
D. left
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,C. right,C. right,True
81,"As the man holding the baseball bat in the red bounding box in the photo, in which direction are you facing?A. front-left
B. right
C. back
D. left
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,B. right,B. right,True
82,"From the perspective of the man holding the baseball bat in the red bounding box, where is the man squatting beside him?A. right
B. back
C. front
D. front-left
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,A. right,B. back,False
83,"With the camera's viewpoint as the front, which direction is the girl in black clothes facing in the image?A. front
B. back
C. front-right
D. left
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,B. back,B. back,True
84,"As the girl in the red bounding box in black clothes in the photo, in which direction are you facing?A. back-right
B. front
C. left
D. back-left
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,B. front,B. front,True
85,"From the perspective of this girl in black clothes in the red bounding box, where is the girl in purple clothes?A. back-left
B. right
C. front
D. left
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,B. right,B. right,True
86,"With the camera's viewpoint as the front, which direction is the woman in the red bounding box in black clothes facing in the image?A. front
B. back
C. left
D. front-right
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,B. back,B. back,True
87,"Suppose you are in the woman in black clothes’s position, what direction are you facing?A. front-left
B. front-right
C. back
D. front
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,C. back,C. back,True
88,"From the perspective of this woman in black clothes in the red bounding box, where is the person in red clothes?A. back-right
B. left
C. front
D. front-left
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,B. left,A. back-right,False
89,"Taking the camera lens as the front, what direction is the man in the red bounding box looking toward?A. front-right
B. left
C. front
D. back
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,D. back,B. left,False
90,"Picture yourself as the man; which way are you in the red bounding box looking in the scene?A. back
B. front-right
C. right
D. front-left
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,D. front-left,D. front-left,True
91,"Taking the camera's viewpoint as the front, which way is the man wearing the red hat in the red bounding box facing in the image?A. back-right
B. front-right
C. right
D. back-left
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,D. back-left,D. back-left,True
92,"Picture yourself as the man wearing the red hat; which way are you in the red bounding box looking in the scene?A. back
B. front
C. right
D. back-left
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,B. front,B. front,True
93,"From the perspective of the man wearing the red hat in the red bounding box, where is the man wearing the white hat?A. front-left
B. back-left
C. front
D. back-right
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,D. back-right,D. back-right,True
94,"With the camera's viewpoint as the front, which direction is the giraff in the red bounding box facing in the image?A. front
B. front-left
C. back
D. right
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,C. back,C. back,True
95,"Picture yourself as the giraff; which way are you in the red bounding box looking in the scene?A. back-right
B. left
C. front-right
D. front-left
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,C. front-right,C. front-right,True
96,"Which hand does the man use to hold the skateboard?A. left
B. right
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,B. right,B. right,True
97,"Taking the camera's viewpoint as the front, which way is the man in the red bounding box in blue facing in the image?A. back
B. right
C. left
D. back-left
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,B. right,B. right,True
98,"As the man in the red bounding box in blue in the photo, in which direction are you facing?A. left
B. back-right
C. back
D. front
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,D. front,D. front,True
99,"From the perspective of the man in blue clothes in the red bounding box, where is the plane?A. back-left
B. front-left
C. front-right
D. back
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,B. front-left,B. front-left,True
100,"Standing at table, gazing at door, where should window be?A. front-left
B. front-right
C. back
D. back-left
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,B. front-right,A. front-left,False
101,"Considering the camera's perspective as the front, what direction is the man in the red bounding box facing within the picture?A. back
B. left
C. front
D. back-right
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,B. left,C. front,False
102,"Imagine you're the man in the red bounding box in this image — which direction are you facing?A. back-left
B. front-right
C. back-right
D. front-left
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,B. front-right,B. front-right,True
103,"Considering the camera's perspective as the front, what direction is the man in the red bounding box in black facing within the picture?A. front-right
B. back-right
C. front-left
D. back-left
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,B. back-right,C. front-left,False
104,"Suppose you are in the man in black’s position, what direction are you facing?A. left
B. back-right
C. right
D. front
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,D. front,D. front,True
105,"From the perspective of this man in black in the red bounding box, where is the blue bag positioned?A. front-left
B. back
C. left
D. front-right
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,B. back,D. front-right,False
106,"Taking the camera's viewpoint as the front, which way is the woman in the red bounding box facing in the image?A. front
B. back-right
C. left
D. back-left
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,B. back-right,B. back-right,True
107,"As the woman in the red bounding box in the photo, in which direction are you facing?A. front
B. left
C. back-right
D. back
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,A. front,A. front,True
108,"Which hand is the woman holding the cell phone with?A. left
B. right
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,B. right,A. left,False
109,"With the camera's viewpoint as the front, which direction is the sheep in the red bounding box facing in the image?A. left
B. front-right
C. front
D. back
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,D. back,D. back,True
110,"Picture yourself as the sheep; which way are you in the red bounding box looking in the scene?A. back-left
B. front-left
C. back
D. back-right
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,B. front-left,B. front-left,True
111,"Taking the camera lens as the front, what direction is the man in the red bounding box in red clothes looking toward?A. back-right
B. back-left
C. front-left
D. left
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,A. back-right,A. back-right,True
112,"Imagine you're the man in the red bounding box in red clothes in this image — which direction are you facing?A. front-left
B. right
C. back-right
D. front-right
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,A. front-left,A. front-left,True
113,"From the perspective of this man in red clothes in the red bounding box, where is the person wearing the black hat?A. left
B. right
C. back
D. front-right
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,C. back,C. back,True
114,"Considering the camera's perspective as the front, what direction is the woman in the red bounding box facing within the picture?A. front-left
B. front
C. left
D. back
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,D. back,D. back,True
115,"Suppose you are in the woman’s position, what direction are you facing?A. back-right
B. front-left
C. back
D. front-right
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,B. front-left,B. front-left,True
116,"From this woman in the red bounding box's perspective, where is the man positioned?A. back-left
B. front-left
C. front
D. right
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,D. right,D. right,True
117,"Taking the camera's viewpoint as the front, which way is the man facing in the image?A. front
B. left
C. back-right
D. front-right
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,B. left,B. left,True
118,"Imagine you're the man in the red bounding box in this image — which direction are you facing?A. back
B. right
C. back-right
D. front
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,D. front,D. front,True
119,"With the camera's viewpoint as the front, which direction is the man in the red bounding box facing in the image?A. right
B. front-right
C. front
D. left
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,D. left,D. left,True
120,"Picture yourself as the man; which way are you in the red bounding box looking in the scene?A. front
B. back-right
C. right
D. left
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,A. front,A. front,True
121,"With the camera's viewpoint as the front, which direction is the woman in the red bounding box facing in the image?A. right
B. front-right
C. back-left
D. front
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,C. back-left,C. back-left,True
122,"Imagine you're the woman in the red bounding box in this image — which direction are you facing?A. back
B. back-right
C. front-right
D. left
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,C. front-right,C. front-right,True
123,"From this woman in the red bounding box's perspective, where is this man positioned?A. front-left
B. back
C. left
D. right
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,D. right,D. right,True
124,"How is the sofa positioned with respect to the clothes in the red bounding box?A. front-up
B. back-down
C. down-left
D. left
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,A. front-up,B. back-down,False
125,"If you're looking at the pillow, where would you find the desk?A. above
B. back-left
C. above-left
D. right
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,D. right,D. right,True
126,"Can you describe the position of the person relative to the desk?A. left
B. above-right
C. down
D. back
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,D. back,D. back,True
127,"Where is the chair in relation to the bag?A. above
B. back-right
C. front-left
D. front-right
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,B. back-right,B. back-right,True
128,"How is the sofa positioned with respect to the clothes?A. down
B. right
C. front-up
D. front
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,A. down,B. right,False
129,"Where is the sofa located compared to the pillow from the camera's perspective?A. front
B. above
C. back-down
D. left
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,A. front,C. back-down,False
130,"When positioned at sofa facing desk, where can you find bag?A. front-left
B. front-right
C. left
D. back-right
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,B. front-right,B. front-right,True
131,"Standing at sofa, gazing at clothes, where should bag be?A. left
B. right
C. back
D. back-right
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,A. left,A. left,True
132,"Standing at desk, gazing at door, where should whiteboard be?A. back-right
B. front-right
C. left
D. back
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,C. left,B. front-right,False
133,"When positioned at person facing desk, where can you find bag?A. front-right
B. left
C. back-right
D. back
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,B. left,A. front-right,False
134,"Imagine standing at sofa looking towards whiteboard, where is bag?A. right
B. front
C. back
D. back-right
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,B. front,B. front,True
135,"If you stand at bookshelf facing door, where is clothes?A. back-left
B. back-right
C. front
D. front-right
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,B. back-right,A. back-left,False
136,"Imagine standing at sofa looking towards person, where is bookshelf?A. back
B. back-left
C. front-right
D. back-right
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,C. front-right,C. front-right,True
137,"With the camera's viewpoint as the front, which direction is the man in the red bounding box facing in the image?A. front-right
B. left
C. right
D. front
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,B. left,B. left,True
138,"Imagine you're the man in the red bounding box in this image — which direction are you facing?A. back
B. front
C. right
D. left
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,B. front,B. front,True
139,"From a man in the red bounding box's perspective, where is the woman positioned?A. right
B. back-left
C. back
D. front-left
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,D. front-left,A. right,False
140,"With the camera's viewpoint as the front, which direction is the man wearing the blue hat in the red bounding box facing in the image?A. right
B. back-left
C. back
D. front-left
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,A. right,D. front-left,False
141,"As the man wearing the blue hat in the red bounding box in the photo, in which direction are you facing?A. right
B. back
C. back-left
D. front
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,D. front,D. front,True
142,"From the perspective of the man wearing the blue hat in the red bounding box, in which direction is the tennis ball?A. front
B. left
C. back-left
D. back-right
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,A. front,A. front,True
143,"Taking the camera lens as the front, what direction is the the man wearing gloves in the red bounding box looking toward?A. left
B. right
C. front
D. front-left
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,B. right,B. right,True
144,"Suppose you are in the the man wearing gloves’s position, what direction are you facing?A. back
B. front
C. right
D. back-right
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,B. front,B. front,True
145,"From the perspective of the man wearing gloves in the red bounding box, where is the man holding the bat?A. left
B. right
C. front
D. back
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,C. front,C. front,True
146,"If you stand at table facing door, where is window?A. right
B. back-right
C. back
D. front
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,D. front,D. front,True
